"date","brl","cny","mxn","brl_interpolated","cny_interpolated","mxn_interpolated"
2012-08-16,2.0203,6.3659,13.1272,FALSE,FALSE,FALSE
2012-08-17,2.0176,6.358,13.1582,FALSE,FALSE,FALSE
2012-08-18,2.0176,6.358,13.1582,TRUE,TRUE,TRUE
2012-08-19,2.0176,6.358,13.1582,TRUE,TRUE,TRUE
2012-08-20,2.0196,6.3592,13.116,FALSE,FALSE,FALSE
2012-08-21,2.0171,6.3559,13.1086,FALSE,FALSE,FALSE
2012-08-22,2.0206,6.3515,13.1602,FALSE,FALSE,FALSE
2012-08-23,2.0242,6.3535,13.1375,FALSE,FALSE,FALSE
2012-08-24,2.0213,6.3542,13.1727,FALSE,FALSE,FALSE
2012-08-25,2.0213,6.3542,13.1727,TRUE,TRUE,TRUE
2012-08-26,2.0213,6.3542,13.1727,TRUE,TRUE,TRUE
2012-08-27,2.0301,6.3558,13.174,FALSE,FALSE,FALSE
2012-08-28,2.0492,6.3525,13.1825,FALSE,FALSE,FALSE
2012-08-29,2.048,6.3513,13.2855,FALSE,FALSE,FALSE
2012-08-30,2.0463,6.3494,13.3938,FALSE,FALSE,FALSE
2012-08-31,2.0301,6.3484,13.2401,FALSE,FALSE,FALSE
2012-09-01,2.0301,6.3484,13.2401,TRUE,TRUE,TRUE
2012-09-02,2.0301,6.3484,13.2401,TRUE,TRUE,TRUE
2012-09-03,2.0301,6.3484,13.2401,TRUE,TRUE,TRUE
2012-09-04,2.042,6.3465,13.1781,FALSE,FALSE,FALSE
2012-09-05,2.0385,6.3489,13.1084,FALSE,FALSE,FALSE
2012-09-06,2.033,6.3428,13.0445,FALSE,FALSE,FALSE
2012-09-07,2.0274,6.3428,12.9901,FALSE,FALSE,FALSE
2012-09-08,2.0274,6.3428,12.9901,TRUE,TRUE,TRUE
2012-09-09,2.0274,6.3428,12.9901,TRUE,TRUE,TRUE
2012-09-10,2.0225,6.3375,12.992,FALSE,FALSE,FALSE
2012-09-11,2.0209,6.3349,12.9975,FALSE,FALSE,FALSE
2012-09-12,2.0191,6.3261,13.0302,FALSE,FALSE,FALSE
2012-09-13,2.025,6.3294,12.9848,FALSE,FALSE,FALSE
2012-09-14,2.0172,6.3145,12.741,FALSE,FALSE,FALSE
2012-09-15,2.0172,6.3145,12.741,TRUE,TRUE,TRUE
2012-09-16,2.0172,6.3145,12.741,TRUE,TRUE,TRUE
2012-09-17,2.03,6.317,12.7409,FALSE,FALSE,FALSE
2012-09-18,2.0251,6.3187,12.8136,FALSE,FALSE,FALSE
2012-09-19,2.0218,6.3091,12.8317,FALSE,FALSE,FALSE
2012-09-20,2.0237,6.3036,12.905,FALSE,FALSE,FALSE
2012-09-21,2.023,6.3051,12.8305,FALSE,FALSE,FALSE
2012-09-22,2.023,6.3051,12.8305,TRUE,TRUE,TRUE
2012-09-23,2.023,6.3051,12.8305,TRUE,TRUE,TRUE
2012-09-24,2.0245,6.309,12.9125,FALSE,FALSE,FALSE
2012-09-25,2.0244,6.3057,12.821,FALSE,FALSE,FALSE
2012-09-26,2.0338,6.3015,12.917,FALSE,FALSE,FALSE
2012-09-27,2.0307,6.3021,12.8446,FALSE,FALSE,FALSE
2012-09-28,2.0277,6.2848,12.863,FALSE,FALSE,FALSE
2012-09-29,2.0277,6.2848,12.863,TRUE,TRUE,TRUE
2012-09-30,2.0277,6.2848,12.863,TRUE,TRUE,TRUE
2012-10-01,2.0254,6.284,12.8172,FALSE,FALSE,FALSE
2012-10-02,2.026,6.284,12.8478,FALSE,FALSE,FALSE
2012-10-03,2.0244,6.284,12.8481,FALSE,FALSE,FALSE
2012-10-04,2.021,6.284,12.755,FALSE,FALSE,FALSE
2012-10-05,2.0273,6.284,12.7054,FALSE,FALSE,FALSE
2012-10-06,2.0273,6.284,12.7054,TRUE,TRUE,TRUE
2012-10-07,2.0273,6.284,12.7054,TRUE,TRUE,TRUE
2012-10-08,2.0273,6.284,12.7054,TRUE,TRUE,TRUE
2012-10-09,2.0354,6.2877,12.8889,FALSE,FALSE,FALSE
2012-10-10,2.0399,6.2831,12.923,FALSE,FALSE,FALSE
2012-10-11,2.036,6.2765,12.8901,FALSE,FALSE,FALSE
2012-10-12,2.0436,6.267,12.8925,FALSE,FALSE,FALSE
2012-10-13,2.0436,6.267,12.8925,TRUE,TRUE,TRUE
2012-10-14,2.0436,6.267,12.8925,TRUE,TRUE,TRUE
2012-10-15,2.0355,6.27,12.8165,FALSE,FALSE,FALSE
2012-10-16,2.0326,6.2637,12.8103,FALSE,FALSE,FALSE
2012-10-17,2.0323,6.254,12.8001,FALSE,FALSE,FALSE
2012-10-18,2.028,6.2501,12.8271,FALSE,FALSE,FALSE
